2022-08-20 00:08:27,806 DEBUG    root            Loaded Command Group: ['gcloud', 'projects']
2022-08-20 00:08:27,808 DEBUG    root            Loaded Command Group: ['gcloud', 'projects', 'list']
2022-08-20 00:08:27,809 DEBUG    root            Running [gcloud.projects.list] with arguments: []
2022-08-20 00:08:27,809 INFO     root            client_filter="None" server_filter="None"
2022-08-20 00:08:27,814 INFO     root            Display format: "
    table(
      projectId:sort=1,
      name,
      projectNumber
    )
"
2022-08-20 00:08:27,819 DEBUG    urllib3.connectionpool Starting new HTTPS connection (1): cloudresourcemanager.googleapis.com:443
2022-08-20 00:08:29,250 DEBUG    urllib3.connectionpool https://cloudresourcemanager.googleapis.com:443 "GET /v1/projects?alt=json&filter=lifecycleState%3AACTIVE&pageSize=500 HTTP/1.1" 200 None
2022-08-20 00:08:29,257 INFO     ___FILE_ONLY___ PROJECT_ID
2022-08-20 00:08:29,257 INFO     ___FILE_ONLY___              
2022-08-20 00:08:29,257 INFO     ___FILE_ONLY___ NAME
2022-08-20 00:08:29,257 INFO     ___FILE_ONLY___                    
2022-08-20 00:08:29,257 INFO     ___FILE_ONLY___ PROJECT_NUMBER
2022-08-20 00:08:29,257 INFO     ___FILE_ONLY___ 

2022-08-20 00:08:29,257 INFO     ___FILE_ONLY___ cilium-20220820000618
2022-08-20 00:08:29,258 INFO     ___FILE_ONLY___   
2022-08-20 00:08:29,258 INFO     ___FILE_ONLY___ cilium-20220820000618
2022-08-20 00:08:29,258 INFO     ___FILE_ONLY___   
2022-08-20 00:08:29,258 INFO     ___FILE_ONLY___ 266622789771
2022-08-20 00:08:29,258 INFO     ___FILE_ONLY___ 

